epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,166.732,0.5324,1.20181,0.27107,0.53571,0.93446,0.85194,0.91151,0.91179,0.82842,0.92007,0.82178,0.85487,0.62277,0.41758,1.69111,0.11355,0.50262,0.77939,0.0015248,0.0015248,0.0015248
50,170.063,0.51673,1.17074,0.2743,0.5595,0.92181,0.94733,0.89042,0.95406,0.90486,0.91473,0.84653,0.85309,0.6649,0.3603,1.67137,0.13501,0.41636,0.69932,0.0015149,0.0015149,0.0015149
51,173.419,0.4875,1.23664,0.25927,0.50802,0.90623,0.95535,0.90099,0.94838,0.89751,0.91851,0.86634,0.82003,0.64284,0.33981,1.67208,0.1017,0.39069,0.69069,0.001505,0.001505,0.001505
52,176.777,0.5131,1.13383,0.25332,0.49733,0.92798,0.96905,0.9299,0.94402,0.87955,0.91605,0.86435,0.82333,0.63645,0.36686,1.66925,0.09028,0.40629,0.71217,0.0014951,0.0014951,0.0014951
53,180.083,0.562,1.01569,0.25577,0.55084,0.95947,0.94452,0.92703,0.97071,0.89587,0.91037,0.86139,0.8095,0.59676,0.35434,1.70989,0.09184,0.40188,0.69451,0.0014852,0.0014852,0.0014852
54,183.522,0.49736,1.16142,0.24353,0.53423,0.92303,0.93041,0.91584,0.97044,0.87438,0.88928,0.85644,0.78897,0.58001,0.37863,1.68517,0.08411,0.42364,0.70606,0.0014753,0.0014753,0.0014753
55,186.809,0.50024,1.08533,0.23759,0.51266,0.92112,0.96398,0.92752,0.97412,0.91507,0.90131,0.85904,0.856,0.67488,0.3409,1.67296,0.08598,0.36046,0.6926,0.0014654,0.0014654,0.0014654
56,190.115,0.4596,1.03141,0.23373,0.49894,0.91354,0.9579,0.90105,0.97824,0.91174,0.91057,0.85685,0.83143,0.67082,0.35265,1.71094,0.09041,0.40736,0.7027,0.0014555,0.0014555,0.0014555
57,193.462,0.49959,1.12783,0.25268,0.50917,0.91745,0.94851,0.91199,0.96532,0.89672,0.92008,0.85492,0.82756,0.61872,0.3438,1.68312,0.08428,0.44745,0.69256,0.0014456,0.0014456,0.0014456
58,196.842,0.48019,1.17696,0.23989,0.4924,0.93164,0.94425,0.92235,0.97359,0.9024,0.88865,0.86139,0.82588,0.62308,0.35982,1.6808,0.08237,0.408,0.69921,0.0014357,0.0014357,0.0014357
59,200.265,0.53994,1.22281,0.23751,0.50802,0.94441,0.9186,0.90594,0.94625,0.88405,0.88674,0.84158,0.80378,0.62797,0.3528,1.68874,0.07028,0.43652,0.70356,0.0014258,0.0014258,0.0014258
60,203.627,0.49365,1.02795,0.26474,0.51118,0.93209,0.93377,0.92574,0.96537,0.9244,0.9157,0.86043,0.86816,0.69651,0.30862,1.6759,0.08165,0.38443,0.6936,0.0014159,0.0014159,0.0014159
61,207.176,0.51244,1.29052,0.25348,0.57359,0.94401,0.95963,0.93564,0.97237,0.90372,0.89705,0.86139,0.80189,0.62842,0.35296,1.67503,0.07149,0.3834,0.70683,0.001406,0.001406,0.001406
62,210.561,0.49311,1.16637,0.23602,0.50991,0.93136,0.94963,0.93342,0.97258,0.91276,0.9191,0.84359,0.85602,0.66442,0.35891,1.68237,0.08178,0.37931,0.70345,0.0013961,0.0013961,0.0013961
63,213.846,0.46025,1.23675,0.23546,0.4476,0.90598,0.96762,0.93564,0.96761,0.92106,0.89976,0.86634,0.86297,0.65661,0.34522,1.66774,0.08442,0.34753,0.69963,0.0013862,0.0013862,0.0013862
64,217.251,0.48332,1.21666,0.22597,0.50485,0.93448,0.95313,0.91089,0.95884,0.87512,0.91987,0.85644,0.8642,0.64222,0.44291,1.6806,0.08129,0.45309,0.78168,0.0013763,0.0013763,0.0013763
65,220.533,0.49698,1.16487,0.24537,0.5053,0.91461,0.95035,0.92079,0.94519,0.89786,0.8923,0.86139,0.81236,0.64457,0.34626,1.67988,0.09516,0.40017,0.70165,0.0013664,0.0013664,0.0013664
66,223.816,0.51887,1.35793,0.22714,0.53443,0.93951,0.96512,0.93564,0.96309,0.91456,0.91498,0.86634,0.85163,0.65843,0.31898,1.67298,0.08231,0.35419,0.68775,0.0013565,0.0013565,0.0013565
67,227.19,0.4362,1.03259,0.21869,0.45291,0.8895,0.92306,0.89088,0.96683,0.9208,0.93852,0.85149,0.86909,0.6511,0.32252,1.66114,0.08913,0.4037,0.68222,0.0013466,0.0013466,0.0013466
68,230.539,0.47621,1.12894,0.2334,0.54684,0.91974,0.95806,0.92079,0.98008,0.92467,0.90557,0.86634,0.82232,0.62581,0.32384,1.65359,0.09828,0.36624,0.68629,0.0013367,0.0013367,0.0013367
69,233.842,0.46322,1.11154,0.24113,0.47461,0.91704,0.97682,0.92079,0.97424,0.92484,0.91808,0.86139,0.81731,0.63276,0.31629,1.67739,0.09985,0.35576,0.68286,0.0013268,0.0013268,0.0013268
70,237.145,0.4585,1.28194,0.23198,0.46408,0.90026,0.97419,0.93446,0.97468,0.92269,0.90641,0.86634,0.82779,0.67018,0.32922,1.67462,0.0686,0.33289,0.69126,0.0013169,0.0013169,0.0013169
71,240.438,0.46091,1.12866,0.23211,0.47191,0.91968,0.97616,0.91089,0.97467,0.92004,0.901,0.86634,0.8007,0.63769,0.31912,1.67621,0.05884,0.33358,0.68758,0.001307,0.001307,0.001307
72,243.783,0.42312,0.98101,0.2131,0.4173,0.87743,0.96459,0.94386,0.97596,0.90118,0.91115,0.85644,0.80943,0.61455,0.35857,1.66429,0.06532,0.33236,0.69863,0.0012971,0.0012971,0.0012971
73,247.122,0.48524,1.30588,0.21169,0.48249,0.92899,0.94417,0.93069,0.97228,0.91471,0.9197,0.85644,0.82706,0.62428,0.37926,1.69594,0.07517,0.39503,0.74566,0.0012872,0.0012872,0.0012872
74,250.518,0.46662,1.23286,0.23146,0.45257,0.91873,0.94795,0.90168,0.96497,0.90812,0.90142,0.86012,0.79332,0.61221,0.33923,1.67945,0.07219,0.38179,0.69485,0.0012773,0.0012773,0.0012773
75,253.718,0.46225,1.17064,0.2423,0.50695,0.93321,0.95497,0.94484,0.98076,0.92886,0.90671,0.86612,0.80681,0.63375,0.29985,1.68145,0.06679,0.31609,0.68398,0.0012674,0.0012674,0.0012674
76,257.003,0.4609,1.03362,0.21311,0.45831,0.911,0.94755,0.91584,0.96181,0.9054,0.90494,0.86634,0.80805,0.65065,0.31833,1.66625,0.06132,0.38037,0.69245,0.0012575,0.0012575,0.0012575
77,260.191,0.45644,0.89222,0.22374,0.45448,0.93027,0.94932,0.92726,0.96948,0.93145,0.96096,0.85298,0.87876,0.69788,0.31365,1.67583,0.05539,0.33412,0.68898,0.0012476,0.0012476,0.0012476
78,263.622,0.39379,0.88912,0.18547,0.39806,0.87512,0.95918,0.93067,0.97596,0.92612,0.90605,0.85937,0.83115,0.67383,0.30893,1.66632,0.04892,0.34031,0.68737,0.0012377,0.0012377,0.0012377
79,266.948,0.48272,1.19114,0.22856,0.52773,0.93457,0.95469,0.9387,0.97969,0.91661,0.8972,0.86412,0.8276,0.67382,0.32787,1.6682,0.06499,0.32066,0.68483,0.0012278,0.0012278,0.0012278
80,270.181,0.46129,1.1342,0.20744,0.47096,0.90512,0.96066,0.93564,0.96949,0.9137,0.92886,0.84033,0.83035,0.66112,0.32835,1.66044,0.08159,0.33293,0.69653,0.0012179,0.0012179,0.0012179
81,273.334,0.45536,1.16097,0.19782,0.44622,0.90545,0.96953,0.94515,0.98399,0.93083,0.88561,0.85644,0.81912,0.6331,0.31408,1.66946,0.06407,0.33084,0.69189,0.001208,0.001208,0.001208
82,276.629,0.44674,1.05907,0.19674,0.46225,0.92504,0.97943,0.94277,0.97993,0.9268,0.89723,0.86139,0.86401,0.70968,0.30749,1.66646,0.06165,0.30289,0.68099,0.0011981,0.0011981,0.0011981
83,279.85,0.47723,1.21448,0.23723,0.51757,0.90308,0.85271,0.88845,0.90515,0.85513,0.86656,0.84653,0.79122,0.57644,0.30985,1.67906,0.05435,0.48285,0.68789,0.0011882,0.0011882,0.0011882
84,283.011,0.43328,1.11312,0.2126,0.4414,0.91439,0.97411,0.93132,0.96247,0.91394,0.89721,0.85644,0.81886,0.61607,0.28711,1.65777,0.05797,0.32076,0.67851,0.0011783,0.0011783,0.0011783
85,286.147,0.42897,1.03733,0.20954,0.42352,0.9073,0.97935,0.93926,0.96923,0.9273,0.91597,0.86347,0.86732,0.64291,0.3146,1.64769,0.07021,0.30615,0.68451,0.0011684,0.0011684,0.0011684
86,289.317,0.42316,0.92483,0.18912,0.39042,0.89088,0.98323,0.94059,0.98846,0.94691,0.90391,0.86634,0.82987,0.62699,0.29077,1.6464,0.05602,0.30723,0.68142,0.0011585,0.0011585,0.0011585
87,292.45,0.43132,1.04171,0.17193,0.381,0.88701,0.98448,0.9422,0.98542,0.94005,0.91565,0.85986,0.87018,0.67884,0.30017,1.65101,0.05683,0.29633,0.67964,0.0011486,0.0011486,0.0011486
88,295.683,0.42228,1.16534,0.17261,0.42533,0.88153,0.9695,0.94406,0.9843,0.94928,0.91552,0.8584,0.88328,0.72111,0.29106,1.65507,0.05175,0.27794,0.67677,0.0011387,0.0011387,0.0011387
89,299.039,0.41207,0.96662,0.17396,0.39713,0.88251,0.98958,0.94033,0.98607,0.94816,0.91146,0.86633,0.87919,0.72538,0.29286,1.66728,0.04385,0.26914,0.68332,0.0011288,0.0011288,0.0011288
90,302.369,0.44329,1.0586,0.18527,0.43062,0.92053,0.97446,0.94438,0.98596,0.92785,0.90667,0.86566,0.8197,0.62883,0.28473,1.64947,0.04542,0.27767,0.68243,0.0011189,0.0011189,0.0011189
91,305.588,0.42383,1.1725,0.16918,0.41893,0.90395,0.94859,0.91341,0.9746,0.92647,0.89194,0.85807,0.80067,0.62941,0.30758,1.64341,0.04847,0.33387,0.68827,0.001109,0.001109,0.001109
92,308.757,0.44305,1.24817,0.20869,0.44667,0.90583,0.97349,0.93069,0.98301,0.9318,0.89652,0.85781,0.80243,0.64432,0.29911,1.65308,0.04516,0.34061,0.67718,0.0010991,0.0010991,0.0010991
93,311.895,0.44028,1.09093,0.19427,0.44649,0.89366,0.96882,0.9505,0.98583,0.94092,0.88204,0.86634,0.82898,0.67583,0.30114,1.64577,0.05249,0.31328,0.6815,0.0010892,0.0010892,0.0010892
94,315.015,0.43756,0.92111,0.19308,0.43223,0.89904,0.9696,0.94059,0.98761,0.94495,0.90053,0.86634,0.84404,0.66936,0.32736,1.64444,0.04757,0.29854,0.69013,0.0010793,0.0010793,0.0010793
95,318.164,0.43288,0.99358,0.20078,0.43868,0.89716,0.95827,0.95545,0.98973,0.93186,0.91,0.85095,0.80649,0.62388,0.30597,1.64221,0.05728,0.32879,0.68124,0.0010694,0.0010694,0.0010694
