epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,112.558,0.51411,0.57922,0.21692,0.37488,0.89812,0.97958,0.98585,0.99425,0.94667,0.9793,0.97945,0.98368,0.89274,0.38992,0.68999,0.09434,0.31114,0.71624,0.0011486,0.0011486,0.0011486
45,115.132,0.52883,0.65197,0.23027,0.40262,0.92063,0.97958,0.98583,0.99425,0.95206,0.97902,0.97945,0.98357,0.87954,0.37346,0.67747,0.08638,0.29607,0.7074,0.0011288,0.0011288,0.0011288
46,117.607,0.57288,0.75854,0.23292,0.4259,0.93354,0.97958,0.98591,0.99438,0.93139,0.9828,0.97945,0.97827,0.85305,0.39683,0.67792,0.08202,0.30379,0.72,0.001109,0.001109,0.001109
47,120.165,0.54107,0.66821,0.24831,0.40019,0.91787,0.97877,0.97945,0.99359,0.94311,0.97877,0.97945,0.97706,0.87657,0.36513,0.67778,0.08022,0.30537,0.70216,0.0010892,0.0010892,0.0010892
48,122.656,0.55053,0.6136,0.2081,0.42792,0.93072,0.99301,0.97237,0.99381,0.95311,0.99301,0.97237,0.97757,0.87729,0.35171,0.67696,0.07882,0.30068,0.70166,0.0010694,0.0010694,0.0010694
49,125.197,0.54347,0.77627,0.23119,0.40847,0.90547,0.98793,0.9726,0.994,0.94615,0.98793,0.9726,0.97996,0.88863,0.36488,0.69101,0.08292,0.30557,0.71048,0.0010496,0.0010496,0.0010496
50,127.674,0.52839,0.70891,0.22978,0.39677,0.90935,0.97933,0.97945,0.99425,0.95403,0.97933,0.97945,0.98046,0.89257,0.35906,0.67468,0.08819,0.30335,0.70329,0.0010298,0.0010298,0.0010298
51,130.323,0.53928,0.50737,0.21807,0.40837,0.92384,0.97957,0.98534,0.99425,0.95214,0.98615,0.97531,0.98008,0.89044,0.33281,0.67311,0.0777,0.3007,0.69934,0.00101,0.00101,0.00101
52,132.906,0.5294,0.62197,0.2457,0.40862,0.92252,0.99303,0.97604,0.99387,0.94776,0.99303,0.97604,0.97903,0.8866,0.34637,0.67627,0.07435,0.28761,0.70168,0.0009902,0.0009902,0.0009902
53,135.388,0.51217,0.66117,0.21812,0.40438,0.91822,0.97957,0.98507,0.99433,0.93975,0.99298,0.96908,0.9795,0.88433,0.39286,0.68773,0.07469,0.29424,0.7076,0.0009704,0.0009704,0.0009704
54,137.888,0.52659,0.6141,0.24045,0.39365,0.93884,0.97957,0.98506,0.99459,0.95036,0.99185,0.9726,0.97995,0.88419,0.34641,0.68512,0.07215,0.27034,0.70133,0.0009506,0.0009506,0.0009506
55,140.394,0.4833,0.62311,0.22665,0.36209,0.90527,0.97958,0.98553,0.99459,0.95377,0.99156,0.9726,0.97916,0.88458,0.36295,0.67445,0.07382,0.2888,0.69734,0.0009308,0.0009308,0.0009308
56,142.903,0.47996,0.59254,0.20568,0.38151,0.91538,0.97774,0.99315,0.99459,0.9594,0.9927,0.9726,0.97928,0.88375,0.33453,0.67787,0.06737,0.26939,0.68333,0.000911,0.000911,0.000911
57,145.414,0.4985,0.53626,0.18602,0.37134,0.939,0.99305,0.978,0.99446,0.96013,0.99305,0.978,0.98237,0.90147,0.30604,0.66709,0.0699,0.24082,0.68233,0.0008912,0.0008912,0.0008912
58,148.044,0.45511,0.61094,0.19561,0.36176,0.88566,0.98626,0.9835,0.99459,0.96331,0.99305,0.97801,0.98229,0.89936,0.28374,0.67066,0.06717,0.23805,0.67976,0.0008714,0.0008714,0.0008714
59,150.638,0.52597,0.67066,0.18828,0.36626,0.95224,1,0.96477,0.994,0.95671,0.99641,0.95205,0.97946,0.89182,0.32501,0.67074,0.07913,0.26457,0.68956,0.0008516,0.0008516,0.0008516
60,153.126,0.47587,0.57998,0.20498,0.34279,0.88994,1,0.97699,0.99459,0.96204,1,0.97699,0.98109,0.89093,0.30489,0.67267,0.05758,0.23469,0.67466,0.0008318,0.0008318,0.0008318
61,155.704,0.45271,0.77149,0.18549,0.36122,0.89092,1,0.97898,0.99453,0.96819,1,0.97898,0.9837,0.88908,0.28336,0.65622,0.05166,0.23643,0.6762,0.000812,0.000812,0.000812
62,158.178,0.55578,0.63944,0.21785,0.37078,0.95385,1,0.9794,0.99453,0.95508,1,0.9794,0.9827,0.88303,0.30566,0.66253,0.04769,0.24449,0.6808,0.0007922,0.0007922,0.0007922
63,160.718,0.42699,0.38376,0.21463,0.32848,0.89189,0.9973,0.97945,0.99459,0.96256,0.9973,0.97945,0.98265,0.89408,0.29277,0.69181,0.05906,0.24384,0.67791,0.0007724,0.0007724,0.0007724
64,163.195,0.46592,0.6565,0.18946,0.33227,0.93115,1,0.97788,0.9946,0.97206,1,0.97788,0.98428,0.90336,0.2706,0.67487,0.06998,0.24029,0.67032,0.0007526,0.0007526,0.0007526
65,165.786,0.45771,0.70911,0.19965,0.35724,0.90821,0.99204,0.97945,0.99446,0.97196,0.99204,0.97945,0.98513,0.90638,0.26836,0.66807,0.06172,0.25088,0.67177,0.0007328,0.0007328,0.0007328
66,168.376,0.46797,0.6391,0.22708,0.37114,0.92579,0.99311,0.9873,0.99479,0.97337,0.99149,0.97945,0.98352,0.90204,0.27948,0.67532,0.06148,0.24826,0.67487,0.000713,0.000713,0.000713
67,170.888,0.4482,0.6202,0.19555,0.3596,0.91287,0.99319,0.99929,0.9948,0.9714,0.99261,0.97945,0.98318,0.90082,0.27986,0.66461,0.06344,0.25908,0.6729,0.0006932,0.0006932,0.0006932
68,173.427,0.38197,0.53842,0.17394,0.31397,0.86071,0.98647,0.99874,0.99486,0.9725,1,0.97247,0.98449,0.90219,0.2826,0.66944,0.05502,0.2318,0.67351,0.0006734,0.0006734,0.0006734
69,175.9,0.44396,0.63505,0.19105,0.32404,0.88351,0.98736,0.99315,0.99486,0.97535,1,0.97248,0.98666,0.91276,0.26094,0.66324,0.05626,0.23458,0.66987,0.0006536,0.0006536,0.0006536
70,178.526,0.42639,0.57845,0.16695,0.34241,0.9011,1,0.99084,0.995,0.97472,0.99768,0.9726,0.98582,0.91158,0.26374,0.6559,0.04867,0.23362,0.6688,0.0006338,0.0006338,0.0006338
71,181.149,0.44638,0.71054,0.18627,0.34874,0.88393,0.99138,1,0.99493,0.9746,1,0.97067,0.9868,0.91623,0.28609,0.65337,0.04844,0.23716,0.67585,0.000614,0.000614,0.000614
72,183.744,0.36767,0.59654,0.17696,0.31684,0.86794,0.99311,0.98689,0.99493,0.97503,0.99846,0.9726,0.98693,0.91706,0.26233,0.65773,0.05321,0.22533,0.67151,0.0005942,0.0005942,0.0005942
73,186.346,0.41597,0.50425,0.18994,0.32612,0.88817,0.98273,1,0.99473,0.97815,0.99894,0.97945,0.98686,0.91733,0.26639,0.66269,0.04328,0.22433,0.6744,0.0005744,0.0005744,0.0005744
74,188.981,0.4024,0.61109,0.17943,0.31649,0.87129,0.97863,1,0.9946,0.98099,1,0.97743,0.98765,0.91906,0.25983,0.66001,0.047,0.2082,0.67005,0.0005546,0.0005546,0.0005546
75,191.58,0.40049,0.69187,0.19279,0.30799,0.89722,0.97917,1,0.9946,0.98031,0.99432,0.97945,0.98805,0.91958,0.23862,0.65234,0.05057,0.19988,0.66355,0.0005348,0.0005348,0.0005348
76,194.079,0.38748,0.74674,0.182,0.31028,0.87426,0.99971,1,0.995,0.98138,1,0.97683,0.98534,0.90989,0.24169,0.65338,0.04754,0.20021,0.66692,0.000515,0.000515,0.000515
77,196.561,0.42589,0.91064,0.19112,0.33252,0.89647,0.99663,0.99315,0.995,0.97712,0.993,0.97218,0.98439,0.91045,0.24354,0.64761,0.04498,0.20675,0.66845,0.0004952,0.0004952,0.0004952
78,199.077,0.40463,0.50222,0.15976,0.32778,0.90877,0.99688,1,0.995,0.97964,0.9984,0.97945,0.98781,0.91816,0.2356,0.65388,0.04171,0.19788,0.66522,0.0004754,0.0004754,0.0004754
79,201.598,0.38389,0.58519,0.17811,0.29189,0.88228,0.99974,0.97945,0.99446,0.97819,0.99974,0.97945,0.98838,0.90815,0.22444,0.64688,0.04492,0.19833,0.6639,0.0004556,0.0004556,0.0004556
80,204.18,0.40109,0.49537,0.15458,0.30471,0.90956,0.99964,0.97945,0.99446,0.97381,0.99964,0.97945,0.98797,0.91528,0.24722,0.64806,0.04825,0.20111,0.67071,0.0004358,0.0004358,0.0004358
81,206.68,0.36763,0.62738,0.15488,0.28617,0.86205,0.99914,0.97945,0.9946,0.97417,0.99914,0.97945,0.9842,0.90607,0.22009,0.6519,0.04306,0.19487,0.66662,0.000416,0.000416,0.000416
82,209.167,0.33835,0.37378,0.16052,0.28199,0.87557,0.99904,0.97945,0.9946,0.97815,0.99904,0.97945,0.98259,0.90041,0.22567,0.65094,0.04157,0.19637,0.66848,0.0003962,0.0003962,0.0003962
83,211.636,0.37623,0.56082,0.14906,0.30079,0.86766,0.99319,1,0.995,0.97571,0.99916,0.97945,0.98014,0.89325,0.21957,0.65172,0.04168,0.20118,0.66459,0.0003764,0.0003764,0.0003764
84,214.14,0.39962,0.54731,0.17796,0.29262,0.90835,0.99848,1,0.995,0.9755,0.99789,0.97945,0.97906,0.88369,0.21311,0.65329,0.03773,0.20374,0.65942,0.0003566,0.0003566,0.0003566
85,216.628,0.38105,0.78483,0.19846,0.289,0.89244,1,0.99485,0.995,0.97397,1,0.96419,0.97933,0.88095,0.23283,0.64931,0.03851,0.20369,0.66308,0.0003368,0.0003368,0.0003368
86,219.147,0.38904,0.6822,0.17252,0.31089,0.88001,0.9973,1,0.995,0.97825,1,0.96468,0.98184,0.88598,0.22743,0.64276,0.03938,0.19393,0.66458,0.000317,0.000317,0.000317
87,221.662,0.42701,0.41662,0.16858,0.3418,0.91513,0.998,1,0.995,0.97699,0.99908,0.97945,0.98316,0.88191,0.22325,0.64266,0.04169,0.18383,0.65895,0.0002972,0.0002972,0.0002972
88,224.183,0.33187,0.65492,0.1586,0.27936,0.86738,0.99318,0.99815,0.995,0.97685,0.99921,0.97945,0.98392,0.88015,0.23146,0.64195,0.04429,0.18744,0.66339,0.0002774,0.0002774,0.0002774
89,226.679,0.36276,0.57066,0.15252,0.30028,0.88398,0.9982,1,0.995,0.97827,0.99897,0.97945,0.98499,0.88236,0.22261,0.64091,0.04227,0.18222,0.66083,0.0002576,0.0002576,0.0002576
90,229.252,0.31416,0.56978,0.15212,0.26677,0.85134,0.99783,1,0.995,0.9819,0.99799,0.97945,0.98504,0.88312,0.22059,0.64103,0.03975,0.17801,0.65842,0.0002378,0.0002378,0.0002378
91,232.354,0.31196,0.51352,0.11622,0.24755,0.84465,0.99783,1,0.995,0.98138,0.99625,0.9589,0.98234,0.87248,0.20841,0.64107,0.03534,0.182,0.65635,0.000218,0.000218,0.000218
92,234.897,0.28743,0.26809,0.12371,0.2298,0.82723,0.99554,0.9863,0.99493,0.97136,0.99788,0.9589,0.97827,0.8711,0.2269,0.64966,0.03132,0.19756,0.65534,0.0001982,0.0001982,0.0001982
93,237.412,0.29345,0.33441,0.1157,0.22976,0.86561,0.99913,1,0.995,0.97395,0.99643,0.96575,0.97869,0.87855,0.21389,0.64334,0.03094,0.1854,0.65375,0.0001784,0.0001784,0.0001784
94,239.898,0.27771,0.37426,0.1108,0.22562,0.8512,1,0.99904,0.995,0.97934,1,0.97759,0.97935,0.88593,0.20995,0.64167,0.03133,0.18223,0.6553,0.0001586,0.0001586,0.0001586
95,242.43,0.28256,0.41714,0.11151,0.22159,0.85241,1,0.9995,0.995,0.98087,1,0.97924,0.9811,0.89407,0.2127,0.64317,0.03209,0.18178,0.65583,0.0001388,0.0001388,0.0001388
96,244.913,0.26864,0.43633,0.09937,0.21471,0.86754,1,0.99962,0.995,0.97992,1,0.97864,0.98185,0.89556,0.20094,0.64218,0.03088,0.18055,0.654,0.000119,0.000119,0.000119
97,247.426,0.25841,0.42388,0.10319,0.21657,0.83387,1,0.99959,0.995,0.98287,0.99889,0.97945,0.98201,0.89755,0.19087,0.64165,0.02955,0.17965,0.65209,9.92e-05,9.92e-05,9.92e-05
98,249.969,0.25629,0.37481,0.09994,0.22186,0.83557,1,0.99987,0.995,0.98326,0.99846,0.97945,0.98213,0.89884,0.19186,0.64183,0.03002,0.17613,0.65175,7.94e-05,7.94e-05,7.94e-05
99,252.634,0.24225,0.44048,0.09999,0.20335,0.83732,0.99929,1,0.995,0.98384,0.99802,0.97945,0.98217,0.90007,0.1931,0.64051,0.02984,0.17425,0.65152,5.96e-05,5.96e-05,5.96e-05
100,255.148,0.26123,0.34435,0.10641,0.20972,0.84949,0.99878,1,0.995,0.98352,0.99752,0.97945,0.98213,0.90211,0.19298,0.63932,0.02928,0.17294,0.65114,3.98e-05,3.98e-05,3.98e-05
